Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mlg,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Coimbatore,Petrol,Automatic,Second,5,6.46,16.5,4,honda,brio,16.5,1198,86.8,37
Jaipur,Diesel,Manual,First,5,3.75,22.9,8,maruti,swift,22.9,1248,74,95
Pune,Petrol,Manual,First,5,4.5,17.57,3,tata,zest,17.57,1193,88.7,70
Kochi,Petrol,Manual,First,5,4.82,18,4,honda,amaze,18,1198,86.7,54
Hyderabad,Diesel,Manual,First,5,2.8,20,8,ford,figo,20,1399,68,70
Jaipur,Diesel,Manual,First,5,3.11,23.2,7,maruti,ritz,23.2,1248,73.94,99
Pune,Petrol,Manual,First,5,2.25,20.36,11,hyundai,i10,20.36,1197,78.9,95
Bangalore,Petrol,Manual,First,5,5.75,18.9,4,hyundai,grand,18.9,1197,82,16
Mumbai,Petrol,Manual,First,5,5,17.8,4,honda,amaze,17.8,1198,86.7,18
Delhi,Diesel,Manual,First,5,5.5,22.7,7,ford,ecosport,22.7,1498,89.84,57
Kolkata,Diesel,Manual,First,5,3.5,25.8,5,honda,amaze,,1498,98.6,30
Kolkata,Diesel,Manual,First,5,2.79,22.07,7,volkswagen,polo,22.07,1199,73.9,34
Bangalore,Petrol,Manual,First,5,4.45,18.9,4,maruti,wagon,18.9,998,67.1,62
Pune,Diesel,Manual,Second,5,3.8,23,9,hyundai,i20,,1396,90,78
Mumbai,Petrol,Manual,First,5,4.65,18.5,6,hyundai,i20,18.5,1197,82.85,30
Pune,Petrol,Manual,First,7,3.95,19.83,3,datsun,go,19.83,1198,67,32
Pune,Petrol,Manual,Second,5,2.7,17,11,hyundai,i20,,1197,80,66
Coimbatore,Petrol,Manual,First,5,2.41,14,10,maruti,omni,14,796,35,93
Ahmedabad,Petrol,Manual,First,5,3.9,17.71,6,toyota,etios,17.71,1197,78.9,53
Coimbatore,Petrol,Manual,First,5,3.91,15.1,3,maruti,eeco,15.1,1196,73,38
Bangalore,Petrol,Manual,First,4,2.15,25.4,6,tata,nano,,624,37.5,25
Coimbatore,Petrol,Automatic,First,5,6.55,19.15,4,nissan,micra,19.15,1198,75.94,39
Mumbai,Diesel,Manual,First,5,7.5,24.3,4,maruti,vitara,,1248,88.5,55
Pune,Petrol,Manual,First,5,2.45,18.9,9,maruti,wagon,18.9,998,67.1,43
Coimbatore,Petrol,Automatic,First,4,3.23,21.9,3,tata,nano,,624,37.48,32
Kochi,Petrol,Manual,First,5,7.47,20.73,3,maruti,ciaz,20.73,1373,91.1,44
Coimbatore,Petrol,Manual,First,5,5.81,21.1,4,maruti,ritz,,1197,85.8,30
Hyderabad,Petrol,Manual,First,5,2.6,24.07,6,maruti,alto,24.07,998,67.1,88
Chennai,Petrol,Manual,Second,5,1.6,19.7,10,maruti,alto,,796,46.3,94
Mumbai,Petrol,Automatic,First,5,6,19,5,honda,jazz,19,1199,88.7,12
Kolkata,Diesel,Manual,First,5,3.7,25.8,6,honda,amaze,25.8,1498,98.6,45
Kochi,Petrol,Manual,First,5,5.43,22,4,maruti,swift,22,1197,81.8,34
Pune,Petrol,Manual,First,5,2.85,18.6,6,chevrolet,beat,18.6,1199,76.8,38
Kochi,Petrol,Manual,First,5,9.9,20.73,2,maruti,ciaz,20.73,1373,91.1,41
Chennai,Diesel,Manual,First,5,6.25,22.9,4,maruti,swift,22.9,1248,74,35
Kochi,Petrol,Manual,First,5,4.23,21.1,1,hyundai,eon,,814,55.2,14
Jaipur,Diesel,Manual,First,5,3.5,22.07,8,volkswagen,polo,22.07,1199,73.9,65
Kolkata,Petrol,Manual,First,5,2.5,20.63,4,datsun,go,20.63,1198,67.06,6
Kolkata,Petrol,Manual,First,5,2.39,19.4,7,honda,brio,,1198,86.8,33
Kochi,Diesel,Manual,First,5,7.11,26,5,honda,city,26,1498,98.6,42
Ahmedabad,Petrol,Manual,First,5,6.2,20.4,3,maruti,swift,20.4,1197,81.8,24
Kochi,Diesel,Manual,First,5,4.42,22.7,6,ford,ecosport,22.7,1498,89.84,147
Jaipur,Diesel,Manual,Second,5,2.1,20,10,ford,figo,20,1399,68,66
Bangalore,Petrol,Manual,Second,5,3.65,19.4,8,honda,brio,19.4,1198,86.8,45
Delhi,Petrol,Manual,First,5,2.75,20.36,7,hyundai,i10,20.36,1197,78.9,60
Kolkata,Petrol,Manual,First,5,6.5,18.9,1,hyundai,grand,18.9,1197,81.86,1
Bangalore,Diesel,Manual,First,5,8.35,22.54,6,hyundai,i20,22.54,1396,88.73,29
Jaipur,Diesel,Manual,First,5,1.5,25.44,8,chevrolet,beat,25.44,936,57.6,88
Hyderabad,Diesel,Manual,First,5,4.2,22.07,8,volkswagen,polo,22.07,1199,73.9,63
Kochi,Petrol,Manual,First,5,7.5,21.4,3,maruti,baleno,21.4,1197,83.1,24
Kochi,Petrol,Manual,First,5,4.04,19.81,3,hyundai,i10,19.81,1086,68.05,52
Chennai,Diesel,Manual,First,5,2.6,20,10,ford,figo,20,1399,68,120
Mumbai,Diesel,Manual,First,7,8.5,25.47,4,maruti,ertiga,25.47,1248,88.5,33
Kolkata,Diesel,Manual,First,5,3.5,25.8,6,honda,amaze,25.8,1498,98.6,52
Jaipur,Petrol,Manual,First,5,3.55,20.36,5,hyundai,i10,20.36,1197,78.9,43
Kolkata,Diesel,Manual,First,5,3.25,25.8,7,honda,amaze,25.8,1498,98.6,50
Delhi,Diesel,Manual,First,5,5.35,19.87,6,renault,duster,19.87,1461,83.8,90
Chennai,Diesel,Manual,Second,7,6.5,17.45,3,mahindra,nuvosport,17.45,1493,100,29
Mumbai,Diesel,Manual,First,5,9,24.3,4,maruti,vitara,,1248,88.5,20
Kochi,Petrol,Manual,First,5,6,18.6,4,hyundai,i20,,1197,81.83,61
Jaipur,Petrol,Manual,First,5,2.75,14.7,11,skoda,fabia,,1390,85,87
Pune,Petrol,Manual,First,5,1.5,15.64,10,tata,indigo,,1193,64.1,70
Delhi,Diesel,Manual,First,5,3,23.59,6,toyota,etios,,1364,67.06,104
Kolkata,Diesel,Manual,First,5,3.25,27.4,7,honda,amaze,,1498,98.6,45
Mumbai,Diesel,Manual,First,5,5.95,20.46,6,renault,duster,20.46,1461,83.8,30
Mumbai,Petrol,Automatic,First,5,4.22,20.51,4,maruti,wagon,20.51,998,67,8
Pune,Petrol,Manual,Second,5,2.9,19.81,8,hyundai,i10,19.81,1086,68.05,44
Coimbatore,Petrol,Manual,First,5,8.22,17.19,2,hyundai,i20,17.19,1197,81.86,25
Kolkata,Diesel,Manual,Second,5,3.5,25.8,6,honda,amaze,25.8,1498,98.6,64
Chennai,Petrol,Manual,Second,5,1.25,18.9,16,maruti,wagon,18.9,998,67.1,61
Hyderabad,Diesel,Manual,First,5,3.7,21.03,7,mahindra,verito,,1461,65,107
Kolkata,Petrol,Manual,First,5,2.65,22.5,7,maruti,wagon,,998,67.04,32
Kochi,Petrol,Manual,Second,5,3.32,18.6,4,chevrolet,beat,,1199,76.8,60
Mumbai,Diesel,Manual,First,5,3.6,22.07,8,volkswagen,polo,,1199,73.9,45
Hyderabad,Diesel,Manual,First,5,6.8,22.9,4,maruti,swift,,1248,74,64
Kolkata,Diesel,Manual,First,5,2.5,20,8,ford,figo,,1399,68.05,41
Kochi,Petrol,Manual,First,5,6.27,18.6,2,hyundai,i20,,1197,81.83,14
Mumbai,Diesel,Manual,First,5,2.65,25.44,7,chevrolet,beat,,936,57.6,74
Kochi,Diesel,Manual,First,5,7.2,22.54,5,hyundai,i20,,1396,88.73,56
Chennai,Diesel,Manual,First,7,6.9,20.77,7,maruti,ertiga,,1248,88.76,52
Mumbai,Diesel,Manual,First,5,4.75,24,3,hyundai,grand,24,1120,70,33
Chennai,Diesel,Manual,First,5,8.45,28.09,4,maruti,ciaz,28.09,1248,88.5,34
Kochi,Diesel,Manual,First,5,1.8,13.1,14,hyundai,accent,13.1,1493,82,160
Coimbatore,Petrol,Manual,First,5,7.17,18.7,3,honda,jazz,18.7,1199,88.7,49
Jaipur,Petrol,Manual,First,5,1.75,19.81,10,hyundai,i10,19.81,1086,68.05,83
Jaipur,Petrol,Manual,Third,5,1.85,19.7,9,maruti,omni,,796,35,35
Coimbatore,Petrol,Manual,Second,5,5.95,20.4,3,maruti,swift,,1197,81.8,27
Mumbai,Petrol,Manual,First,5,3.75,18.9,6,hyundai,grand,,1197,82,16
Pune,Diesel,Manual,First,5,3.75,22.9,8,maruti,swift,,1248,74,120
Mumbai,Petrol,Manual,First,5,2.8,17,10,hyundai,i20,,1197,80,52
Hyderabad,Diesel,Manual,First,5,4.35,23.2,6,maruti,ritz,,1248,73.94,88
Pune,Petrol,Manual,First,5,2,19,10,maruti,a-star,,998,66.1,67
Delhi,Diesel,Manual,First,5,1.65,17.8,10,fiat,grande,,1248,76,120
Bangalore,Petrol,Manual,Second,5,3.25,20.36,10,hyundai,i10,,1197,78.9,36
Mumbai,Petrol,Manual,Third,5,0.55,17.3,18,maruti,zen,,993,60,60
Hyderabad,Diesel,Manual,First,5,7.15,28.4,2,maruti,swift,28.4,1248,74,31
Pune,Diesel,Manual,First,5,3.75,22.95,3,tata,zest,22.95,1248,74,121
Jaipur,Diesel,Manual,First,5,4.35,23.4,8,maruti,swift,23.4,1248,74,73
Kochi,Petrol,Manual,First,5,3.26,22.74,4,maruti,alto,22.74,796,47.3,32
Kolkata,Diesel,Manual,First,5,3.11,21.9,7,hyundai,i20,21.9,1396,88.8,46
Coimbatore,Petrol,Automatic,First,5,5.96,15,6,hyundai,i20,15,1396,98.6,45
Pune,Diesel,Manual,First,5,5.25,22.95,2,tata,zest,22.95,1248,74,45
Delhi,Petrol,Manual,First,5,1.35,18.9,11,maruti,wagon,,1061,67,60
Delhi,Petrol,Manual,First,5,4.85,18.2,5,honda,jazz,,1199,88.7,62
Hyderabad,Petrol,Manual,First,5,3.1,20.36,10,hyundai,i10,,1197,78.9,74
Pune,Petrol,Manual,First,5,2.8,20.36,8,hyundai,i10,,1197,78.9,45
Mumbai,Petrol,Manual,First,5,3.89,16.47,5,volkswagen,polo,,1198,73.9,31
Hyderabad,Petrol,Manual,First,5,2.1,20.92,9,maruti,alto,,998,67.1,70
Coimbatore,Diesel,Manual,First,5,2.58,17,7,tata,indigo,,1405,70,59
Hyderabad,Petrol,Automatic,First,5,4.25,23.1,6,maruti,celerio,,998,67.04,77
Hyderabad,Petrol,Manual,First,5,2.05,14,8,maruti,omni,,796,35,71
Kochi,Petrol,Manual,First,5,3.13,18.5,8,honda,brio,18.5,1198,86.8,91
Hyderabad,Diesel,Manual,Second,7,1.5,14.07,20,tata,sumo,14.07,2956,83.1,158
Pune,Diesel,Manual,First,5,2.85,18,8,tata,indica,18,1248,75,91
Delhi,Petrol,Manual,First,5,2.65,18.9,8,maruti,wagon,18.9,998,67.1,65
Pune,Diesel,Manual,Second,5,1.25,17.1,12,tata,indigo,17.1,1396,70,138
Mumbai,Petrol,Manual,First,7,8.25,16.02,2,maruti,ertiga,16.02,1373,93.7,18
Kolkata,Diesel,Manual,First,5,3.7,19.3,8,maruti,swift,19.3,1248,73.9,48
Hyderabad,Diesel,Manual,First,5,2.8,17.8,11,ford,fiesta,17.8,1399,68,160
Kolkata,Petrol,Manual,First,5,1.8,17.7,12,honda,city,17.7,1497,78,40
Pune,Diesel,Manual,First,5,5.5,23,8,hyundai,i20,23,1396,90,83
Bangalore,Petrol,Automatic,Third,5,2.95,16.95,11,hyundai,i10,16.95,1197,78.9,37
Kochi,Petrol,Automatic,First,5,6.86,19,4,honda,jazz,19,1199,88.7,28
Hyderabad,Diesel,Manual,First,5,6.15,25.2,5,maruti,swift,25.2,1248,74,76
Pune,Petrol,Manual,Second,5,3.3,18.5,9,hyundai,i20,18.5,1197,82.85,79
Kolkata,Petrol,Manual,First,5,2.55,16.47,9,volkswagen,polo,16.47,1198,73.9,32
Ahmedabad,Petrol,Manual,First,5,1.5,19.7,11,maruti,alto,19.7,796,46.3,35
Chennai,Petrol,Manual,Second,5,1.4,19.7,14,maruti,alto,19.7,796,46.3,56
Pune,Diesel,Manual,First,5,3.4,21.12,8,tata,manza,21.12,1248,88.8,73
Pune,Petrol,Manual,First,5,2.25,19.7,8,maruti,alto,19.7,796,46.3,38
Coimbatore,Petrol,Manual,First,5,7.66,18.6,4,hyundai,i20,18.6,1197,81.83,24
Chennai,Diesel,Manual,First,5,7.15,24.3,4,maruti,vitara,24.3,1248,88.5,45
Hyderabad,Diesel,Manual,Second,5,3.5,18,6,tata,indica,18,1248,75,133
Kolkata,Diesel,Manual,First,5,3.45,25.8,7,honda,amaze,25.8,1498,98.6,57
Coimbatore,Petrol,Manual,First,5,3.55,21.1,4,hyundai,eon,21.1,814,55.2,27
Ahmedabad,Diesel,Manual,First,5,2.9,21.02,7,tata,manza,21.02,1248,88.8,47
Pune,Petrol,Manual,First,5,3.75,24.07,3,maruti,alto,24.07,998,67.1,30
Mumbai,Diesel,Manual,First,5,6.75,22.7,6,ford,ecosport,22.7,1498,89.84,68
Kolkata,Petrol,Manual,Second,5,0.95,18,9,chevrolet,spark,18,995,62,21
Delhi,Diesel,Manual,First,5,3.5,22.9,7,maruti,swift,22.9,1248,74,70
Mumbai,Petrol,Automatic,First,5,6.2,18.5,4,maruti,swift,18.5,1197,83.14,18
Chennai,Diesel,Manual,First,5,2.75,23.08,9,nissan,micra,23.08,1461,63.1,83
Mumbai,Diesel,Manual,First,5,3.25,23.4,5,maruti,swift,23.4,1248,74,130
Pune,Diesel,Manual,First,5,3.25,17.8,8,ford,fiesta,17.8,1399,67,63
Kolkata,Petrol,Manual,First,5,0.65,17.3,17,maruti,zen,17.3,993,60,65
Kolkata,Diesel,Manual,First,5,3.25,23.59,6,toyota,etios,23.59,1364,67.05,45
Kolkata,Petrol,Manual,First,5,2.9,24.7,2,maruti,alto,24.7,796,47.3,26
Bangalore,Petrol,Manual,Third,5,2.9,18.9,9,maruti,alto,18.9,796,47,11
Coimbatore,Petrol,Automatic,First,5,5.77,18.9,5,hyundai,grand,18.9,1197,82,37
Hyderabad,Diesel,Manual,First,5,9.49,24.3,3,maruti,vitara,24.3,1248,88.5,39
Chennai,Petrol,Manual,Third,4,1,16.1,13,maruti,800,16.1,796,37,72
Chennai,Diesel,Manual,Second,5,7.1,20.45,5,renault,duster,20.45,1461,83.8,93
Hyderabad,Diesel,Manual,Second,5,3.2,21.1,10,maruti,ritz,21.1,1248,73.9,68
Kochi,Diesel,Manual,First,5,4,24.4,5,hyundai,xcent,24.4,1120,71,74
Delhi,Petrol,Manual,First,5,4.65,18,5,honda,amaze,18,1198,86.7,52
Chennai,Petrol,Manual,First,5,3.25,21.1,6,hyundai,eon,21.1,814,55.2,37
Kolkata,Petrol,Manual,First,5,3.1,20.51,6,maruti,wagon,20.51,998,67.04,17
Coimbatore,Diesel,Manual,First,5,3.91,21.1,9,maruti,ritz,21.1,1248,73.9,90
Jaipur,Petrol,Manual,First,5,0.92,19.7,10,maruti,alto,19.7,796,46.3,125
Pune,Petrol,Manual,First,5,2.75,14,7,maruti,wagon,14,1061,64,53
Pune,Petrol,Manual,First,5,0.8,13.2,15,hyundai,accent,,1495,94,5
Jaipur,Petrol,Manual,First,5,6.9,17.19,3,hyundai,i20,,1197,81.86,40
Kolkata,Petrol,Manual,Second,5,2.25,21.1,5,hyundai,eon,,814,55.2,20
Kochi,Petrol,Manual,First,5,5.5,18.9,2,hyundai,grand,,1197,81.86,40
Mumbai,Petrol,Manual,First,5,4.35,13,7,honda,city,,1493,100,52
Kolkata,Petrol,Manual,First,5,2.25,16.47,10,volkswagen,polo,,1198,73.9,55
Bangalore,Diesel,Manual,First,5,5.75,23.59,7,toyota,etios,,1364,67.04,37
Delhi,Petrol,Manual,Second,5,3.2,19.4,6,honda,brio,,1198,86.8,30
Coimbatore,Petrol,Automatic,First,5,9.89,21.4,2,maruti,baleno,,1197,83.1,12
Kochi,Petrol,Manual,First,5,4.06,21.1,2,hyundai,eon,,814,55.2,13
Kochi,Petrol,Manual,First,5,3.74,22.74,4,maruti,alto,,796,47.3,34
Ahmedabad,Petrol,Manual,First,5,1.45,18.9,13,maruti,wagon,,998,67.1,55
Kolkata,Petrol,Manual,First,5,2,17.7,12,honda,city,,1497,78,40
Kolkata,Petrol,Manual,First,8,3.75,13.7,6,chevrolet,enjoy,,1399,98.79,15
Coimbatore,Diesel,Manual,First,7,7.7,15.96,4,mahindra,bolero,,2523,62.1,82
Hyderabad,Petrol,Manual,First,5,2.6,21.1,6,hyundai,eon,,814,55.2,20
Hyderabad,Diesel,Manual,First,5,2.5,22.3,6,tata,indica,,1248,74,67
Coimbatore,Petrol,Manual,First,5,7.98,18.6,3,hyundai,i20,,1197,81.83,26
Chennai,Petrol,Manual,Second,5,2.25,18.5,9,maruti,ritz,,1197,85.8,67
Hyderabad,Diesel,Manual,First,5,3.5,27.62,4,maruti,celerio,,793,47,80
Delhi,Diesel,Manual,First,5,8.92,25.1,2,maruti,s-cross,,1248,88.5,12
Pune,Petrol,Manual,First,5,7.2,18.6,4,hyundai,i20,,1197,81.83,6
Pune,Diesel,Manual,First,5,5.25,24.4,4,hyundai,xcent,,1120,71,51
Delhi,Diesel,Manual,First,5,6.5,22.7,6,ford,ecosport,22.7,1498,89.84,31
Hyderabad,Petrol,Manual,First,5,4.4,16.47,7,volkswagen,polo,16.47,1198,73.9,76
Kolkata,Diesel,Manual,First,5,4.6,24,3,hyundai,grand,24,1120,70,14
Ahmedabad,Diesel,Manual,First,5,2.95,21.12,7,tata,manza,21.12,1248,88.8,47
Bangalore,Petrol,Manual,Second,5,2.22,17.92,12,hyundai,santro,17.92,1086,62.1,46
Hyderabad,Diesel,Manual,First,7,10.5,12.99,8,toyota,innova,12.99,2494,100,162
Coimbatore,Diesel,Manual,First,5,8.26,28.09,3,maruti,ciaz,28.09,1248,88.5,25
Delhi,Petrol,Manual,First,5,4.5,18.9,5,hyundai,grand,18.9,1197,82,27
Hyderabad,Petrol,Manual,First,5,6.8,18.16,2,ford,figo,,1196,86.8,3
Mumbai,Diesel,Manual,Second,5,7,19.87,5,renault,duster,,1461,83.8,67
Chennai,Diesel,Manual,Second,5,2.25,20,9,ford,figo,,1399,68,75
Kolkata,Diesel,Manual,First,5,2.75,22.07,8,volkswagen,polo,,1199,73.9,52
Jaipur,Diesel,Manual,First,5,3,23.2,9,maruti,ritz,,1248,73.94,91
Pune,Diesel,Manual,First,5,3.55,23.08,7,nissan,micra,,1461,63.1,60
Jaipur,Petrol,Manual,Second,5,2.32,19.81,10,hyundai,i10,,1086,68.05,59
Jaipur,Petrol,Manual,First,7,5.5,16.02,6,maruti,ertiga,,1373,93.7,98
Chennai,Diesel,Manual,Second,5,3.2,18.7,14,skoda,octavia,,1896,66,72
Pune,Petrol,Manual,First,5,4,18,5,honda,amaze,,1198,86.7,79
Chennai,Petrol,Manual,First,5,1.6,17.3,16,maruti,zen,,993,60,29
Mumbai,Petrol,Automatic,First,5,4.25,16.5,6,honda,brio,,1198,86.8,35
Ahmedabad,Petrol,Manual,First,5,2.6,18.9,9,maruti,wagon,,998,67.1,75
Kochi,Petrol,Manual,First,5,2.55,18.6,8,chevrolet,beat,,1199,79.4,32
Mumbai,Diesel,Manual,First,5,6.25,22.7,6,ford,ecosport,,1498,89.84,79
Hyderabad,Diesel,Manual,Second,5,3.6,17.8,10,maruti,swift,,1248,75,86
Mumbai,Petrol,Manual,Second,5,4.8,18.9,3,hyundai,grand,,1197,82,8
Hyderabad,Petrol,Manual,First,5,2.3,17.92,11,hyundai,santro,,1086,62.1,80
Coimbatore,Petrol,Manual,First,5,4.95,17.6,7,toyota,etios,,1496,88.73,27
Ahmedabad,Petrol,Manual,First,5,3.3,22.5,8,maruti,wagon,,998,67.04,30
Jaipur,Petrol,Manual,First,5,2.79,23.1,6,maruti,celerio,,998,67.04,56
Pune,Petrol,Manual,First,5,2.55,18.6,6,chevrolet,beat,,1199,76.8,8
Ahmedabad,Petrol,Manual,Second,4,1,25.4,6,tata,nano,,624,37.5,18
Kochi,Petrol,Manual,First,5,6.37,22,1,maruti,swift,,1197,81.8,20
Kochi,Petrol,Manual,First,5,5.75,20.4,3,maruti,swift,,1197,81.8,31
Mumbai,Petrol,Manual,First,7,6.8,16.02,6,maruti,ertiga,,1373,93.7,13
Jaipur,Petrol,Manual,First,7,5.6,16.02,6,maruti,ertiga,,1373,93.7,47
Jaipur,Diesel,Manual,First,5,1,17,15,tata,indigo,,1405,70,108
Hyderabad,Diesel,Manual,First,5,3.85,19.3,9,maruti,swift,,1248,73.9,130
Hyderabad,Diesel,Manual,First,5,3,17.8,8,ford,fiesta,,1399,67,107
Mumbai,Petrol,Manual,First,5,5.75,18,4,honda,amaze,,1198,86.7,9
Delhi,Diesel,Manual,First,5,6.75,22.54,6,hyundai,i20,,1396,88.73,43
Bangalore,Diesel,Manual,Second,7,4.85,18.2,7,chevrolet,enjoy,,1248,73.8,64
Mumbai,Diesel,Manual,First,7,9.51,12.99,8,toyota,innova,,2494,100,55
Kochi,Petrol,Manual,First,5,3.29,17.7,11,honda,city,,1497,78,69
Delhi,Diesel,Manual,First,5,9.5,28.09,4,maruti,ciaz,,1248,88.5,41
Pune,Petrol,Manual,Second,5,2.2,17.5,10,maruti,swift,,1298,85.8,109
Pune,Diesel,Manual,Second,7,6.75,25.47,7,maruti,ertiga,,1248,88.5,105
Chennai,Diesel,Manual,First,5,3.8,23.59,7,toyota,etios,,1364,67.04,179
Hyderabad,Diesel,Manual,First,5,6.2,20.14,5,volkswagen,polo,,1498,88.8,50
Chennai,Diesel,Manual,First,5,2.3,19.2,13,mahindra,renault,,1461,65,35
Jaipur,Diesel,Manual,First,5,5.65,27.3,5,honda,jazz,,1498,98.6,63
Kochi,Diesel,Manual,First,5,5.6,25.8,5,honda,amaze,,1498,98.6,62
Coimbatore,Diesel,Manual,First,5,7.39,26.59,4,maruti,swift,,1248,74,38
Chennai,Petrol,Manual,First,5,4.45,18.6,7,maruti,swift,,1197,85.8,49
Jaipur,Diesel,Manual,Second,7,6,15.96,8,mahindra,bolero,,2523,62.1,105
Chennai,Diesel,Manual,First,5,5.25,22.9,6,maruti,swift,,1248,74,35
Chennai,Petrol,Manual,Third,5,1.5,13.8,16,ford,ikon,,1299,70,129
Coimbatore,Diesel,Manual,First,5,8.12,20.14,2,volkswagen,polo,,1498,88,33
Coimbatore,Diesel,Manual,First,7,6.12,13.6,8,mahindra,bolero,,2523,63,60
Coimbatore,Diesel,Manual,First,5,10.88,25.1,3,honda,city,,1498,98.6,45
Kolkata,Petrol,Manual,First,5,3.5,18.2,6,chevrolet,sail,,1199,82.5,9
Kochi,Petrol,Manual,First,5,6.15,18.6,4,hyundai,i20,,1197,81.83,42
Kolkata,Diesel,Manual,First,7,5.95,20.77,7,maruti,ertiga,,1248,88.76,53
Bangalore,Petrol,Manual,First,5,5.75,18.5,5,hyundai,i20,,1197,80,59
Ahmedabad,Diesel,Manual,First,5,4.75,20.45,6,renault,duster,,1461,83.8,55
Hyderabad,Diesel,Manual,Second,7,3.3,17.21,7,mahindra,quanto,,1493,100,80
Hyderabad,Diesel,Manual,First,5,4.39,19.3,9,maruti,swift,,1248,73.9,81
Kochi,Diesel,Manual,First,5,6.2,25.2,2,maruti,swift,,1248,74,52
Pune,Petrol,Manual,First,8,1.45,19.7,10,maruti,omni,,796,35,60
Hyderabad,Diesel,Manual,First,5,6.9,20.45,6,nissan,terrano,,1461,83.8,59
Coimbatore,Petrol,Manual,First,5,2.44,14.7,10,chevrolet,aveo,,1150,76,64
Kolkata,Diesel,Manual,First,7,1.95,13.6,20,mahindra,bolero,,2523,63,124
Mumbai,Petrol,Manual,First,5,4.35,19.1,6,hyundai,xcent,,1197,82,7
Hyderabad,Petrol,Manual,First,5,2.9,21.1,5,hyundai,eon,,814,55.2,68
Delhi,Diesel,Manual,First,5,2.9,22.07,7,volkswagen,polo,,1199,73.9,64
Pune,Diesel,Manual,First,5,8.9,24.3,4,maruti,vitara,,1248,88.5,21
Coimbatore,Petrol,Manual,First,5,3.95,21.1,4,hyundai,eon,,814,55.2,14
Delhi,Diesel,Manual,First,5,4.65,21.27,6,hyundai,i20,,1396,88.76,67
Chennai,Diesel,Manual,First,8,2.9,13.6,14,mahindra,bolero,,2523,63,82
